d,OPT_M,lossMargin
2, 0.009083, 1.481164
3, 0.014628, 1.738281
4, 0.015456, 1.963078
5, 0.017380, 2.169308
6, 0.034957, 2.360884
7, 0.065151, 2.539825
8, 0.137177, 2.708046
9, 0.300676, 2.867016
10, 0.619588, 3.018370
11, 2.103399, 3.162278
12, 5.622370, 3.300584
13, 18.961122, 3.433390
14, 63.827118, 3.561176
15, 320.666571, 3.684628
