n,Kronecker,Marginals,Marginaloss
2, 0.000918, 0.005814,1.961775
4, 0.001165, 0.004516,2.623748
8, 0.001233, 0.006892,2.984033
16, 0.003631, 0.059320,3.167495
32, 0.174308, 1.414615,3.240430
64, 4.293244, 38.009449,3.257641
