n,OPT_M,lossMargin
2, 0.024763, 1.705609
4, 0.021037, 2.000001
8, 0.024684, 2.141347
16, 0.022729, 2.211084
32, 0.023090, 2.244423
64, 0.037129, 2.255652
128, 0.023661, 2.257814
256, 0.025119, 2.255410
512, 0.051690, 2.251124
1024, 0.110138, 2.247749
