n,Kronecker,Marginals,Marginaloss
2, 0.000850, 0.007205,1.901614
4, 0.000715, 0.005796,2.685197
8, 0.001041, 0.014172,3.156243
16, 0.002243, 0.082042,3.366634
32, 0.164785, 2.028467,3.422869
64, 4.199315, 64.533324,3.407764
