d,OPT_M,lossMargin
2, 0.015584, 1.379085
3, 0.016337, 1.913199
4, 0.019421, 2.480200
5, 0.025527, 3.058082
6, 0.068705, 3.652945
7, 0.069391, 4.262257
8, 0.151311, 4.879972
9, 0.285991, 5.502718
10, 0.541607, 6.129335
11, 1.843891, 6.756978
12, 5.300227, 7.386799
13, 16.407493, 8.017785
14, 58.709581, 8.650072
15, 240.429538, 9.282191
