n,OPT_M,lossMargin
2, 0.030518, 1.961779
4, 0.026591, 2.623736
8, 0.026706, 2.983941
16, 0.026322, 3.167709
32, 0.054090, 3.240224
64, 0.045099, 3.257842
128, 0.079644, 3.250123
256, 0.068255, 3.235019
512, 0.118686, 3.244422
1024, 0.280538, 3.205328
