d,OPT_M,lossMargin,SVDB
2, 0.013623, 1.379089,1.379084
3, 0.024239, 1.619530,1.619519
4, 0.032544, 2.345709,2.345538
5, 0.048400, 3.247292,3.247103
6, 0.063773, 4.277255,4.275167
7, 0.098782, 5.439264,5.409468
8, 0.204874, 6.725897,6.638166
9, 0.318641, 8.126827,7.953100
10, 0.690359, 9.628796,9.348111
11, 1.558985, 11.223310,10.818294
12, 4.398657, 12.904240,12.359598
13, 16.402893, 14.666762,13.968594
14, 43.564977, 16.508987,15.642320
15, 195.691014, 18.420413,17.378185
